MatchID,TEAMID,COUNTRY,SEASON,MATCHDATE,TEAMID,TEAMAVG,TEAMMAX,TEAMMIN
997,1,1, u'2012/2013', u'2012-07-28 00:00:00',8571,25,31,20
997,1,1, u'2012/2013', u'2012-07-28 00:00:00',8635,27,32,22
998,1,1, u'2012/2013', u'2012-07-28 00:00:00',9993,27,32,19
998,1,1, u'2012/2013', u'2012-07-28 00:00:00',9994,27,34,19
999,1,1, u'2012/2013', u'2012-07-28 00:00:00',9998,28,31,24
999,1,1, u'2012/2013', u'2012-07-28 00:00:00',1773,28,32,22
1000,1,1, u'2012/2013', u'2012-07-29 00:00:00',9985,25,30,18
1000,1,1, u'2012/2013', u'2012-07-29 00:00:00',10000,26,31,18
1001,1,1, u'2012/2013', u'2012-07-28 00:00:00',8203,26,33,18
1001,1,1, u'2012/2013', u'2012-07-28 00:00:00',9986,24,28,21
1002,1,1, u'2012/2013', u'2012-07-28 00:00:00',8342,26,33,20
1002,1,1, u'2012/2013', u'2012-07-28 00:00:00',8475,27,34,21
1003,1,1, u'2012/2013', u'2012-07-29 00:00:00',9991,25,30,19
1003,1,1, u'2012/2013', u'2012-07-29 00:00:00',9989,24,28,19
1004,1,1, u'2012/2013', u'2012-07-29 00:00:00',9987,25,31,21
1004,1,1, u'2012/2013', u'2012-07-29 00:00:00',9984,29,34,20
1005,1,1, u'2012/2013', u'2012-10-07 00:00:00',8342,26,34,20
1005,1,1, u'2012/2013', u'2012-10-07 00:00:00',9987,26,31,21
1006,1,1, u'2012/2013', u'2012-10-07 00:00:00',9985,25,30,21
1006,1,1, u'2012/2013', u'2012-10-07 00:00:00',8635,27,31,22
1007,1,1, u'2012/2013', u'2012-10-05 00:00:00',9993,27,32,21
1007,1,1, u'2012/2013', u'2012-10-05 00:00:00',9991,25,30,19
1008,1,1, u'2012/2013', u'2012-10-06 00:00:00',9986,25,28,21
1008,1,1, u'2012/2013', u'2012-10-06 00:00:00',1773,27,32,22
1009,1,1, u'2012/2013', u'2012-10-06 00:00:00',10000,25,32,18
1009,1,1, u'2012/2013', u'2012-10-06 00:00:00',9984,26,34,20
1010,1,1, u'2012/2013', u'2012-10-06 00:00:00',9994,26,34,19
1010,1,1, u'2012/2013', u'2012-10-06 00:00:00',9989,23,27,19
1011,1,1, u'2012/2013', u'2012-10-06 00:00:00',8203,27,33,24
1011,1,1, u'2012/2013', u'2012-10-06 00:00:00',8571,26,31,21
1012,1,1, u'2012/2013', u'2012-10-06 00:00:00',8475,27,34,19
1012,1,1, u'2012/2013', u'2012-10-06 00:00:00',9998,29,35,24
1013,1,1, u'2012/2013', u'2012-10-19 00:00:00',8635,25,31,18
1013,1,1, u'2012/2013', u'2012-10-19 00:00:00',8475,27,34,19
1014,1,1, u'2012/2013', u'2012-10-20 00:00:00',9987,26,31,21
1014,1,1, u'2012/2013', u'2012-10-20 00:00:00',9993,27,32,19
1015,1,1, u'2012/2013', u'2012-10-20 00:00:00',9991,25,28,21
1015,1,1, u'2012/2013', u'2012-10-20 00:00:00',8571,26,31,21
1016,1,1, u'2012/2013', u'2012-10-20 00:00:00',10000,25,32,19
1016,1,1, u'2012/2013', u'2012-10-20 00:00:00',9994,26,34,19
1017,1,1, u'2012/2013', u'2012-10-20 00:00:00',1773,27,32,22
1017,1,1, u'2012/2013', u'2012-10-20 00:00:00',8342,26,34,20
1018,1,1, u'2012/2013', u'2012-10-20 00:00:00',9989,24,30,20
1018,1,1, u'2012/2013', u'2012-10-20 00:00:00',9986,24,28,20
1019,1,1, u'2012/2013', u'2012-10-21 00:00:00',9998,29,35,24
1019,1,1, u'2012/2013', u'2012-10-21 00:00:00',9985,23,29,18
1020,1,1, u'2012/2013', u'2012-10-20 00:00:00',9984,28,35,20
1020,1,1, u'2012/2013', u'2012-10-20 00:00:00',8203,27,33,24
